commodity,elasticity
pdr,5.05
wht,4.45
gro,1.3
v_f,1.85
osd,2.45
c_b,2.7
pfb,2.5
ocr,3.25
ctl,2
oap,1.3
rmk,3.65
wol,6.45
frs,2.5
fsh,1.25
coa,3.05
oil,5.2
gas,17.2
oxt,0.9
cmt,3.85
omt,4.4
vol,3.3
mil,3.65
pcr,2.6
sgr,2.7
ofd,2
b_t,1.15
tex,3.75
wap,3.7
lea,4.05
lum,3.4
ppp,2.95
p_c,2.1
chm,3.3
bph,3.3
rpp,3.3
nmm,2.9
i_s,2.95
nfm,4.2
fmp,3.75
ele,4.4
eeq,4.4
ome,4.05
mvh,2.8
otn,4.3
omf,3.75
ely,2.8
gdt,2.8
wtr,2.8
cns,1.9
trd,1.9
afs,1.9
otp,1.9
wtp,1.9
atp,1.9
whs,1.9
cmn,1.9
ofi,1.9
ins,1.9
rsa,1.9
obs,1.9
ros,1.9
osg,1.9
edu,1.9
hht,1.9
dwe,1.9
