,betaRj,epsilonPCjComputed,epsilonPCjtarget,difference
0,0.24300619407863777,0.7608779025794435,-0.17,547.5752368114373
1,0.9467461616050664,0.05325975980235742,0.0,inf
2,0.22700712261121297,0.7946092392092605,-0.17,567.4171995348592
3,1.2085500643304319,-0.18028107592950793,-0.39,53.77408309499797
4,1.2938306108772775,-0.29039028909732423,-0.39,25.54095151350661
5,1.0245133575735674,0.006393767504658476,-0.27,102.3680620387624
6,1.252385109094666,-0.23736338477370045,-0.39,39.13759364776912
7,1.2762700376757181,-0.2680286110727226,-0.39,31.274715109558315
8,1.2872284100058826,-0.28200078520075267,-0.39,27.69210635878137
9,0.9393295163777419,0.06331341944487512,0.0,inf
10,1.4519246655368505,-0.4362949344946534,-0.2,-118.14746724732667
11,1.2771860690485362,-0.26919885324094817,-0.39,30.974653015141495
12,0.9445912612187077,0.0561760470638204,0.0,inf
13,1.8999561032213355,-0.8230013861615002,-1.39,40.79126718262588
14,1.2137978727499443,-0.18717248516548946,-0.39,52.00705508577194
15,0.4180164367459406,0.5952455029377126,-0.67,188.84261237876305
16,1.0411743205322983,-0.02956726810853305,-0.22,86.56033267793953
17,1.2150812376934959,-0.1975336251040718,-0.26,24.025528806126236
18,1.3456961058715668,-0.07089075230205255,-1.39,94.89994587755018
19,1.837506553295438,-0.7801985178302788,-0.35,-122.91386223722253
20,0.9212297635413818,0.13701089026171576,-0.22,162.27767739168897
21,1.444661876960142,-0.42717934838017957,-0.2,-113.58967419008977
22,1.4017020121078805,-0.3728041007072649,-0.2,-86.40205035363243
23,0.9442633310856597,0.056620153724364464,0.0,inf
24,0.9433356223384737,0.10531732762616042,-0.22,147.87151255734562
25,0.3208585031958933,0.7376628069924209,-0.97,176.04771206107432
26,1.05170648535131,-0.04362764975943878,-0.22,80.16925010934601
27,0.9467629806148461,0.053237019385153905,0.0,inf
28,0.938181008399378,0.06487448346920166,0.0,inf
29,1.051449348307709,-0.04328532884707759,-0.22,80.32485052405565
30,0.9451931609062911,0.0553610733133173,0.0,inf
31,1.0558304954849016,-0.049111398401501916,-0.22,77.6766370902264
32,1.0068974612617023,0.016771946681142014,-0.22,107.62361212779183
33,1.0176582781427757,0.0021255627740358607,-0.22,100.96616489728902
34,1.4183727458034447,-0.39399945717241813,-0.2,-96.99972858620906
35,1.0294757643118062,-0.013853751194221164,-0.22,93.7028403662631
36,0.9402502066673099,0.06206282528419227,0.0,inf
